time,location,message,error
2026-01-21-12:23:38,Austria,url exists,None
2026-01-25-22:30:03,Austria,url exists,None
2026-01-25-22:44:19,Austria,url exists,None
2026-01-25-22:46:00,Austria,url exists,None
2026-01-25-22:46:50,Austria,url exists,None
2026-01-25-22:47:51,Austria,url exists,None
2026-01-26-04:37:05,Austria,world,None
2026-01-26-04:38:34,Austria,url exists,None
2026-01-26-04:38:42,Austria,url exists,None
2026-01-26-04:39:18,Austria,url exists,None
2026-01-26-04:39:54,Austria,url exists,None
2026-01-26-04:40:32,Austria,no popup,Timeout 30000ms exceeded.
2026-01-26-04:40:51,Austria,url exists,None
2026-01-26-07:17:30,Austria,url exists,None
2026-01-26-07:17:37,Austria,url exists,None
2026-01-26-07:18:09,Austria,url exists,None
2026-01-26-07:18:43,Austria,url exists,None
2026-01-26-07:20:45,Austria,url exists,None
2026-01-26-07:21:03,Austria,url exists,None
2026-01-26-07:21:13,Austria,url exists,None
2026-01-26-10:00:14,Austria,url exists,None
2026-01-26-10:01:09,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-10:01:39,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-10:01:46,Austria,url exists,None
2026-01-26-10:02:42,Austria,url exists,None
2026-01-26-10:02:51,Austria,url exists,None
2026-01-26-10:02:58,Austria,url exists,None
2026-01-26-10:03:05,Austria,url exists,None
2026-01-26-10:03:36,Austria,url exists,None
2026-01-26-10:04:10,Austria,url exists,None
2026-01-26-13:58:59,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-13:59:29,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-13:59:48,Austria,url exists,None
2026-01-26-13:59:55,Austria,url exists,None
2026-01-26-14:00:35,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-14:01:05,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-14:01:12,Austria,url exists,None
2026-01-26-14:01:52,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-14:02:22,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-14:02:31,Austria,url exists,None
2026-01-26-14:02:40,Austria,url exists,None
2026-01-26-14:02:50,Austria,url exists,None
2026-01-26-14:03:31,Austria,url exists,None
2026-01-26-14:03:38,Austria,url exists,None
2026-01-26-14:03:45,Austria,url exists,None
2026-01-26-14:04:00,Austria,url exists,None
2026-01-26-16:08:56,Austria,url exists,None
2026-01-26-16:09:03,Austria,url exists,None
2026-01-26-16:09:29,Austria,url exists,None
2026-01-26-16:10:15,Austria,url exists,None
2026-01-26-16:10:54,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-16:11:24,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-16:11:34,Austria,url exists,None
2026-01-26-16:11:45,Austria,url exists,None
2026-01-26-16:11:55,Austria,url exists,None
2026-01-26-16:12:34,Austria,url exists,None
2026-01-26-16:12:44,Austria,url exists,None
2026-01-26-19:05:49,Austria,url exists,None
2026-01-26-19:05:56,Austria,url exists,None
2026-01-26-19:06:35,Austria,url exists,None
2026-01-26-19:06:44,Austria,url exists,None
2026-01-26-19:06:51,Austria,url exists,None
2026-01-26-19:07:31,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-19:08:01,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-19:09:00,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-19:09:30,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-19:09:37,Austria,url exists,None
2026-01-26-19:09:48,Austria,url exists,None
2026-01-26-19:09:58,Austria,url exists,None
2026-01-26-19:10:28,Austria,url exists,None
2026-01-26-21:58:59,Austria,url exists,None
2026-01-26-21:59:21,Austria,url exists,None
2026-01-26-21:59:29,Austria,url exists,None
2026-01-26-21:59:36,Austria,url exists,None
2026-01-26-21:59:45,Austria,url exists,None
2026-01-26-22:00:25,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-22:00:55,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-22:01:02,Austria,url exists,None
2026-01-26-22:01:10,Austria,url exists,None
2026-01-26-22:01:17,Austria,url exists,None
2026-01-26-22:01:58,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-22:02:28,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-22:02:35,Austria,url exists,None
2026-01-26-22:03:16,Austria,url exists,None
2026-01-26-22:03:30,Austria,url exists,None
2026-01-27-04:14:57,Austria,url exists,None
2026-01-27-04:15:04,Austria,url exists,None
2026-01-27-04:15:12,Austria,url exists,None
2026-01-27-04:15:20,Austria,url exists,None
2026-01-27-04:15:29,Austria,url exists,None
2026-01-27-04:15:36,Austria,url exists,None
2026-01-27-04:16:13,Austria,no popup,Timeout 30000ms exceeded.
2026-01-27-04:16:24,Austria,url exists,None
2026-01-27-04:16:35,Austria,url exists,None
2026-01-27-04:16:48,Austria,url exists,None
2026-01-27-04:16:55,Austria,url exists,None
2026-01-27-04:18:09,Austria,url exists,None
2026-01-27-04:18:16,Austria,url exists,None
2026-01-27-07:05:31,Austria,url exists,None
2026-01-27-07:05:38,Austria,url exists,None
2026-01-27-07:05:46,Austria,url exists,None
2026-01-27-07:05:53,Austria,url exists,None
2026-01-27-07:06:24,Austria,url exists,None
2026-01-27-07:06:35,Austria,url exists,None
2026-01-27-07:06:46,Austria,url exists,None
2026-01-27-07:07:25,Austria,url exists,None
2026-01-27-07:07:32,Austria,url exists,None
2026-01-27-07:07:46,Austria,url exists,None
2026-01-27-07:08:24,Austria,no popup,Timeout 30000ms exceeded.
2026-01-27-07:08:39,Austria,url exists,None
2026-01-27-07:08:55,Austria,url exists,None
2026-01-27-09:59:26,Austria,world,None
2026-01-27-09:59:33,Austria,url exists,None
2026-01-27-09:59:41,Austria,url exists,None
2026-01-27-09:59:49,Austria,url exists,None
2026-01-27-09:59:57,Austria,url exists,None
2026-01-27-10:00:08,Austria,url exists,None
2026-01-27-10:00:17,Austria,url exists,None
2026-01-27-10:00:30,Austria,url exists,None
2026-01-27-10:00:43,Austria,url exists,None
2026-01-27-10:00:57,Austria,url exists,None
2026-01-27-10:01:10,Austria,url exists,None
2026-01-27-10:01:26,Austria,url exists,None
2026-01-27-10:02:09,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-10:02:39,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-10:02:55,Austria,url exists,None
2026-01-27-10:03:12,Austria,url exists,None
2026-01-27-10:03:13,Austria,no images,None
2026-01-27-14:02:08,Austria,url exists,None
2026-01-27-14:02:09,Austria,world,None
2026-01-27-14:02:16,Austria,url exists,None
2026-01-27-14:02:25,Austria,url exists,None
2026-01-27-14:02:33,Austria,url exists,None
2026-01-27-14:02:43,Austria,url exists,None
2026-01-27-14:02:53,Austria,url exists,None
2026-01-27-14:03:03,Austria,url exists,None
2026-01-27-14:03:15,Austria,url exists,None
2026-01-27-14:03:22,Austria,url exists,None
2026-01-27-14:03:54,Austria,url exists,None
2026-01-27-14:04:10,Austria,url exists,None
2026-01-27-14:04:25,Austria,url exists,None
2026-01-27-14:04:41,Austria,url exists,None
2026-01-27-15:58:31,Austria,url exists,None
2026-01-27-15:58:37,Austria,url exists,None
2026-01-27-15:58:44,Austria,url exists,None
2026-01-27-15:59:08,Austria,url exists,None
2026-01-27-15:59:30,Austria,url exists,None
2026-01-27-15:59:40,Austria,url exists,None
2026-01-27-15:59:48,Austria,url exists,None
2026-01-27-15:59:55,Austria,url exists,None
2026-01-27-16:00:02,Austria,url exists,None
2026-01-27-16:00:09,Austria,url exists,None
2026-01-27-16:00:16,Austria,url exists,None
2026-01-27-16:00:24,Austria,url exists,None
2026-01-27-16:01:07,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-16:01:37,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-16:01:44,Austria,url exists,None
2026-01-27-19:18:21,Austria,url exists,None
2026-01-27-19:18:28,Austria,url exists,None
2026-01-27-19:18:35,Austria,url exists,None
2026-01-27-19:18:43,Austria,url exists,None
2026-01-27-19:19:19,Austria,url exists,None
2026-01-27-19:19:27,Austria,url exists,None
2026-01-27-19:19:37,Austria,url exists,None
2026-01-27-19:19:45,Austria,url exists,None
2026-01-27-19:20:26,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-19:20:56,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-19:21:08,Austria,url exists,None
2026-01-27-19:21:15,Austria,url exists,None
2026-01-27-19:21:23,Austria,url exists,None
2026-01-27-19:21:30,Austria,url exists,None
2026-01-27-19:21:37,Austria,url exists,None
2026-01-27-19:21:44,Austria,url exists,None
2026-01-27-19:21:44,Austria,no images,None
2026-01-27-21:48:09,Austria,url exists,None
2026-01-27-21:48:16,Austria,url exists,None
2026-01-27-21:48:24,Austria,url exists,None
2026-01-27-21:48:31,Austria,url exists,None
2026-01-27-21:48:40,Austria,url exists,None
2026-01-27-21:48:48,Austria,url exists,None
2026-01-27-21:48:55,Austria,url exists,None
2026-01-27-21:49:36,Austria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-21:50:06,Austria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-21:50:13,Austria,url exists,None
