time,location,message,error
2026-01-21-17:14:34,Brazil,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-21-17:15:04,Brazil,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-04:40:52,Brazil,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-04:41:22,Brazil,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-07:18:25,Brazil,url exists,None
2026-01-26-10:01:00,Brazil,url exists,None
2026-01-26-10:01:07,Brazil,url exists,None
2026-01-26-10:02:06,Brazil,url exists,None
2026-01-26-10:02:45,Brazil,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-10:03:15,Brazil,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
