time,location,message,error
2026-01-21-12:20:00,Chile,url exists,None
2026-01-21-12:20:02,Chile,world,None
2026-01-25-22:52:53,Chile,url exists,None
2026-01-25-22:56:50,Chile,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-25-22:57:20,Chile,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-04:37:53,Chile,url exists,None
2026-01-26-04:38:47,Chile,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-04:39:17,Chile,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-04:40:35,Chile,url exists,None
2026-01-26-04:41:43,Chile,url exists,None
2026-01-26-07:12:40,Chile,url exists,None
2026-01-26-07:12:47,Chile,url exists,None
2026-01-26-07:14:30,Chile,url exists,None
2026-01-26-07:15:51,Chile,url exists,None
2026-01-26-10:15:38,Chile,url exists,None
2026-01-26-10:16:00,Chile,url exists,None
2026-01-26-10:16:08,Chile,url exists,None
2026-01-26-10:17:13,Chile,url exists,None
2026-01-26-10:17:39,Chile,url exists,None
2026-01-26-10:17:49,Chile,url exists,None
2026-01-26-10:18:01,Chile,url exists,None
2026-01-26-14:18:21,Chile,url exists,None
2026-01-26-14:18:39,Chile,streetview,"Locator.wait_for: Timeout 8000ms exceeded.
Call lo"
2026-01-26-14:18:46,Chile,url exists,None
2026-01-26-14:19:08,Chile,url exists,None
2026-01-26-14:19:17,Chile,url exists,None
2026-01-26-14:19:44,Chile,url exists,None
2026-01-26-14:20:11,Chile,url exists,None
2026-01-26-14:21:08,Chile,url exists,None
2026-01-26-14:21:42,Chile,url exists,None
