time,location,message,error
2026-01-21-14:02:53,Ghana,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-21-14:03:23,Ghana,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-25-22:51:46,Ghana,url exists,None
2026-01-25-22:54:16,Ghana,no popup,Timeout 30000ms exceeded.
2026-01-26-04:48:22,Ghana,url exists,None
2026-01-26-04:48:29,Ghana,url exists,None
2026-01-26-04:49:41,Ghana,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-04:50:11,Ghana,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-04:50:41,Ghana,url exists,None
2026-01-26-04:50:57,Ghana,url exists,None
2026-01-26-04:51:06,Ghana,url exists,None
2026-01-26-04:51:45,Ghana,url exists,None
2026-01-26-04:53:03,Ghana,url exists,None
