time,location,message,error
2026-01-21-19:27:06,Greece,url exists,None
2026-01-26-04:45:21,Greece,url exists,None
2026-01-26-04:45:32,Greece,url exists,None
2026-01-26-07:18:47,Greece,url exists,None
2026-01-26-07:20:20,Greece,url exists,None
2026-01-26-10:06:44,Greece,url exists,None
2026-01-26-10:07:06,Greece,url exists,None
2026-01-26-10:07:14,Greece,url exists,None
2026-01-26-10:07:59,Greece,url exists,None
2026-01-26-14:18:50,Greece,streetview,"Locator.wait_for: Timeout 8000ms exceeded.
Call lo"
2026-01-26-14:18:51,Greece,world,None
2026-01-26-16:15:19,Greece,url exists,None
2026-01-26-16:15:41,Greece,url exists,None
2026-01-26-16:15:48,Greece,url exists,None
2026-01-26-16:16:35,Greece,url exists,None
2026-01-26-16:17:27,Greece,url exists,None
2026-01-26-16:17:34,Greece,url exists,None
2026-01-26-16:17:45,Greece,url exists,None
2026-01-26-19:06:46,Greece,url exists,None
2026-01-26-19:06:53,Greece,url exists,None
2026-01-26-19:07:01,Greece,url exists,None
2026-01-26-21:50:56,Greece,url exists,None
2026-01-26-21:51:02,Greece,url exists,None
2026-01-26-21:51:28,Greece,url exists,None
2026-01-26-21:52:07,Greece,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-21:52:37,Greece,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-21:52:45,Greece,url exists,None
2026-01-26-21:53:16,Greece,url exists,None
2026-01-26-21:53:26,Greece,url exists,None
2026-01-26-21:54:05,Greece,url exists,None
2026-01-27-04:24:57,Greece,url exists,None
2026-01-27-04:25:37,Greece,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-04:26:07,Greece,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-04:26:14,Greece,url exists,None
2026-01-27-04:26:37,Greece,url exists,None
2026-01-27-04:28:17,Greece,url exists,None
2026-01-27-07:10:46,Greece,url exists,None
2026-01-27-07:10:53,Greece,url exists,None
2026-01-27-07:11:34,Greece,url exists,None
2026-01-27-07:12:02,Greece,url exists,None
2026-01-27-07:12:12,Greece,url exists,None
2026-01-27-07:13:16,Greece,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-07:13:46,Greece,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-07:13:57,Greece,url exists,None
2026-01-27-07:14:07,Greece,url exists,None
2026-01-27-07:15:14,Greece,url exists,None
2026-01-27-10:10:46,Greece,url exists,None
2026-01-27-10:11:20,Greece,url exists,None
2026-01-27-10:11:27,Greece,url exists,None
2026-01-27-10:11:52,Greece,url exists,None
2026-01-27-14:08:47,Greece,url exists,None
2026-01-27-14:08:49,Greece,world,None
2026-01-27-14:09:11,Greece,url exists,None
2026-01-27-14:10:08,Greece,url exists,None
2026-01-27-14:10:34,Greece,url exists,None
2026-01-27-14:10:43,Greece,url exists,None
2026-01-27-14:10:53,Greece,url exists,None
2026-01-27-14:11:04,Greece,url exists,None
2026-01-27-14:11:11,Greece,url exists,None
2026-01-27-16:05:41,Greece,world,None
2026-01-27-16:05:48,Greece,url exists,None
2026-01-27-16:05:55,Greece,url exists,None
2026-01-27-16:06:03,Greece,url exists,None
2026-01-27-16:06:47,Greece,url exists,None
2026-01-27-16:06:49,Greece,world,None
2026-01-27-16:06:56,Greece,url exists,None
2026-01-27-16:07:26,Greece,url exists,None
2026-01-27-16:07:34,Greece,url exists,None
2026-01-27-16:07:41,Greece,url exists,None
2026-01-27-16:08:18,Greece,url exists,None
2026-01-27-19:29:08,Greece,url exists,None
2026-01-27-19:29:46,Greece,url exists,None
2026-01-27-19:29:53,Greece,url exists,None
2026-01-27-19:30:45,Greece,url exists,None
2026-01-27-19:30:55,Greece,url exists,None
2026-01-27-19:31:51,Greece,url exists,None
2026-01-27-19:32:02,Greece,url exists,None
2026-01-27-19:32:15,Greece,url exists,None
2026-01-27-19:32:28,Greece,url exists,None
