time,location,message,error
2026-01-21-12:27:46,Lesotho,url exists,None
2026-01-25-22:49:39,Lesotho,url exists,None
2026-01-25-22:50:07,Lesotho,url exists,None
2026-01-25-22:50:14,Lesotho,url exists,None
2026-01-25-22:50:21,Lesotho,url exists,None
2026-01-25-22:50:28,Lesotho,url exists,None
2026-01-25-22:51:26,Lesotho,url exists,None
2026-01-25-22:52:03,Lesotho,no popup,Timeout 30000ms exceeded.
2026-01-25-22:53:03,Lesotho,url exists,None
2026-01-25-22:53:15,Lesotho,url exists,None
2026-01-26-04:54:40,Lesotho,url exists,None
2026-01-26-04:54:51,Lesotho,url exists,None
2026-01-26-04:55:06,Lesotho,url exists,None
2026-01-26-04:55:13,Lesotho,url exists,None
2026-01-26-04:55:28,Lesotho,url exists,None
2026-01-26-04:55:46,Lesotho,url exists,None
2026-01-26-04:55:53,Lesotho,url exists,None
2026-01-26-04:56:12,Lesotho,url exists,None
2026-01-26-04:56:25,Lesotho,url exists,None
2026-01-26-04:57:05,Lesotho,url exists,None
2026-01-26-04:57:23,Lesotho,url exists,None
2026-01-26-04:57:39,Lesotho,url exists,None
2026-01-26-04:57:41,Lesotho,world,None
2026-01-26-04:57:48,Lesotho,url exists,None
2026-01-26-07:17:13,Lesotho,url exists,None
2026-01-26-07:17:20,Lesotho,url exists,None
2026-01-26-07:17:35,Lesotho,url exists,None
2026-01-26-07:17:43,Lesotho,url exists,None
2026-01-26-07:18:26,Lesotho,url exists,None
2026-01-26-07:18:43,Lesotho,url exists,None
2026-01-26-07:18:56,Lesotho,url exists,None
2026-01-26-07:20:24,Lesotho,url exists,None
2026-01-26-07:20:43,Lesotho,url exists,None
2026-01-26-07:21:04,Lesotho,url exists,None
2026-01-26-07:21:26,Lesotho,url exists,None
2026-01-26-07:21:49,Lesotho,url exists,None
2026-01-26-10:12:34,Lesotho,url exists,None
2026-01-26-10:12:41,Lesotho,url exists,None
2026-01-26-10:12:48,Lesotho,url exists,None
2026-01-26-10:13:24,Lesotho,url exists,None
2026-01-26-10:13:31,Lesotho,url exists,None
2026-01-26-10:13:41,Lesotho,url exists,None
2026-01-26-10:13:48,Lesotho,url exists,None
2026-01-26-10:14:25,Lesotho,no popup,Timeout 30000ms exceeded.
2026-01-26-10:14:37,Lesotho,url exists,None
2026-01-26-10:14:44,Lesotho,url exists,None
2026-01-26-10:14:51,Lesotho,url exists,None
2026-01-26-10:14:58,Lesotho,url exists,None
2026-01-26-10:15:05,Lesotho,url exists,None
2026-01-26-10:15:22,Lesotho,url exists,None
2026-01-26-10:15:39,Lesotho,url exists,None
2026-01-26-10:15:39,Lesotho,no images,None
2026-01-26-14:02:35,Lesotho,url exists,None
2026-01-26-14:02:42,Lesotho,url exists,None
2026-01-26-14:02:49,Lesotho,url exists,None
2026-01-26-14:02:56,Lesotho,url exists,None
2026-01-26-14:03:05,Lesotho,url exists,None
2026-01-26-14:03:15,Lesotho,url exists,None
2026-01-26-14:03:30,Lesotho,url exists,None
2026-01-26-14:03:37,Lesotho,url exists,None
2026-01-26-14:03:44,Lesotho,url exists,None
2026-01-26-14:03:51,Lesotho,url exists,None
2026-01-26-14:04:05,Lesotho,url exists,None
2026-01-26-14:04:21,Lesotho,url exists,None
2026-01-26-14:04:28,Lesotho,url exists,None
2026-01-26-14:04:35,Lesotho,url exists,None
2026-01-26-14:04:52,Lesotho,url exists,None
2026-01-26-14:04:52,Lesotho,no images,None
2026-01-26-16:02:12,Lesotho,url exists,None
2026-01-26-16:02:19,Lesotho,url exists,None
2026-01-26-16:02:26,Lesotho,url exists,None
2026-01-26-16:02:33,Lesotho,url exists,None
2026-01-26-16:02:41,Lesotho,url exists,None
2026-01-26-16:02:43,Lesotho,world,None
2026-01-26-16:02:53,Lesotho,url exists,None
2026-01-26-16:03:00,Lesotho,url exists,None
2026-01-26-16:03:11,Lesotho,url exists,None
2026-01-26-16:03:18,Lesotho,url exists,None
2026-01-26-16:03:25,Lesotho,url exists,None
2026-01-26-16:03:32,Lesotho,url exists,None
2026-01-26-16:03:39,Lesotho,url exists,None
2026-01-26-16:03:54,Lesotho,url exists,None
2026-01-26-16:04:10,Lesotho,url exists,None
2026-01-26-16:04:11,Lesotho,no images,None
2026-01-26-19:15:20,Lesotho,url exists,None
2026-01-26-19:15:27,Lesotho,url exists,None
2026-01-26-19:15:34,Lesotho,url exists,None
2026-01-26-19:15:42,Lesotho,url exists,None
2026-01-26-19:15:49,Lesotho,url exists,None
2026-01-26-19:15:57,Lesotho,url exists,None
2026-01-26-19:16:08,Lesotho,url exists,None
2026-01-26-19:16:18,Lesotho,url exists,None
2026-01-26-19:16:26,Lesotho,url exists,None
2026-01-26-19:16:40,Lesotho,url exists,None
2026-01-26-19:16:53,Lesotho,url exists,None
2026-01-26-19:17:00,Lesotho,url exists,None
2026-01-26-19:17:08,Lesotho,url exists,None
2026-01-26-19:17:25,Lesotho,url exists,None
2026-01-26-19:18:02,Lesotho,no popup,Timeout 30000ms exceeded.
2026-01-26-19:18:03,Lesotho,no images,None
