time,location,message,error
2026-01-21-14:05:06,Peru,url exists,None
2026-01-25-22:53:22,Peru,no popup,Timeout 30000ms exceeded.
2026-01-25-22:54:35,Peru,url exists,None
2026-01-25-22:56:17,Peru,url exists,None
2026-01-26-04:54:22,Peru,url exists,None
2026-01-26-04:54:29,Peru,url exists,None
2026-01-26-04:54:52,Peru,url exists,None
2026-01-26-04:55:18,Peru,url exists,None
2026-01-26-04:55:25,Peru,url exists,None
2026-01-26-04:55:55,Peru,url exists,None
2026-01-26-04:56:46,Peru,url exists,None
2026-01-26-04:57:06,Peru,url exists,None
2026-01-26-07:24:39,Peru,url exists,None
2026-01-26-07:24:46,Peru,url exists,None
2026-01-26-07:25:41,Peru,url exists,None
2026-01-26-07:26:21,Peru,url exists,None
2026-01-26-07:26:36,Peru,url exists,None
2026-01-26-07:27:12,Peru,url exists,None
2026-01-26-07:27:20,Peru,url exists,None
2026-01-26-07:27:21,Peru,world,None
2026-01-26-07:27:28,Peru,url exists,None
2026-01-26-10:09:13,Peru,url exists,None
2026-01-26-10:09:20,Peru,url exists,None
2026-01-26-10:09:45,Peru,url exists,None
2026-01-26-10:10:10,Peru,url exists,None
2026-01-26-10:10:19,Peru,url exists,None
2026-01-26-10:10:52,Peru,url exists,None
2026-01-26-10:11:02,Peru,url exists,None
2026-01-26-10:11:09,Peru,url exists,None
2026-01-26-10:11:23,Peru,url exists,None
2026-01-26-10:11:36,Peru,url exists,None
2026-01-26-10:12:19,Peru,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-10:12:49,Peru,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-10:13:03,Peru,url exists,None
2026-01-26-14:15:03,Peru,url exists,None
2026-01-26-14:15:10,Peru,url exists,None
2026-01-26-14:15:17,Peru,url exists,None
2026-01-26-14:15:26,Peru,url exists,None
2026-01-26-14:15:33,Peru,url exists,None
2026-01-26-14:16:10,Peru,no popup,Timeout 30000ms exceeded.
2026-01-26-14:16:17,Peru,url exists,None
2026-01-26-14:17:11,Peru,url exists,None
2026-01-26-14:17:46,Peru,url exists,None
2026-01-26-14:17:53,Peru,url exists,None
2026-01-26-14:18:07,Peru,url exists,None
2026-01-26-14:18:14,Peru,url exists,None
2026-01-26-16:16:46,Peru,url exists,None
2026-01-26-16:16:54,Peru,url exists,None
2026-01-26-16:17:02,Peru,url exists,None
2026-01-26-16:17:11,Peru,url exists,None
2026-01-26-16:17:21,Peru,url exists,None
2026-01-26-16:17:32,Peru,url exists,None
2026-01-26-16:17:43,Peru,url exists,None
2026-01-26-16:17:56,Peru,url exists,None
2026-01-26-16:19:03,Peru,no popup,Timeout 30000ms exceeded.
2026-01-26-16:19:45,Peru,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-16:20:15,Peru,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-16:20:28,Peru,url exists,None
2026-01-26-16:20:42,Peru,url exists,None
2026-01-26-16:20:58,Peru,url exists,None
2026-01-26-16:21:13,Peru,url exists,None
2026-01-26-19:13:37,Peru,url exists,None
2026-01-26-19:13:44,Peru,url exists,None
2026-01-26-19:14:11,Peru,url exists,None
2026-01-26-19:14:19,Peru,url exists,None
2026-01-26-19:14:26,Peru,url exists,None
2026-01-26-19:14:53,Peru,url exists,None
2026-01-26-19:15:00,Peru,url exists,None
2026-01-26-19:15:07,Peru,url exists,None
2026-01-26-19:15:20,Peru,url exists,None
2026-01-26-19:15:52,Peru,url exists,None
2026-01-26-19:15:59,Peru,url exists,None
2026-01-26-19:16:06,Peru,url exists,None
