time,location,message,error
2026-01-21-14:04:12,Portugal,url exists,None
2026-01-26-04:45:31,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-04:46:01,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-04:46:47,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-04:47:17,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-07:26:21,Portugal,url exists,None
2026-01-26-07:28:33,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-07:29:03,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-10:11:21,Portugal,url exists,None
2026-01-26-10:12:01,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-10:12:31,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-14:05:11,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-14:05:41,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-14:06:07,Portugal,world,None
2026-01-26-14:06:21,Portugal,world,None
2026-01-26-14:07:25,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-14:07:55,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-16:02:25,Portugal,url exists,None
2026-01-26-16:03:14,Portugal,url exists,None
2026-01-26-19:25:29,Portugal,url exists,None
2026-01-26-19:26:35,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-19:27:05,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-19:27:07,Portugal,world,None
2026-01-26-19:27:22,Portugal,world,None
2026-01-26-22:01:13,Portugal,url exists,None
2026-01-26-22:02:02,Portugal,url exists,None
2026-01-26-22:03:14,Portugal,url exists,None
2026-01-27-04:19:22,Portugal,url exists,None
2026-01-27-04:19:29,Portugal,url exists,None
2026-01-27-04:19:38,Portugal,url exists,None
2026-01-27-04:20:07,Portugal,url exists,None
2026-01-27-04:20:38,Portugal,url exists,None
2026-01-27-04:21:58,Portugal,url exists,None
2026-01-27-07:19:56,Portugal,world,None
2026-01-27-07:20:29,Portugal,url exists,None
2026-01-27-07:21:34,Portugal,url exists,None
2026-01-27-07:22:17,Portugal,url exists,None
2026-01-27-07:22:56,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-07:23:26,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-10:19:23,Portugal,url exists,None
2026-01-27-10:19:44,Portugal,url exists,None
2026-01-27-10:20:23,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-10:20:53,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-10:21:16,Portugal,url exists,None
2026-01-27-10:21:23,Portugal,url exists,None
2026-01-27-10:22:24,Portugal,url exists,None
2026-01-27-14:02:11,Portugal,url exists,None
2026-01-27-14:03:41,Portugal,url exists,None
2026-01-27-14:04:17,Portugal,world,None
2026-01-27-14:04:26,Portugal,url exists,None
2026-01-27-14:04:34,Portugal,url exists,None
2026-01-27-14:04:44,Portugal,url exists,None
2026-01-27-14:05:24,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-14:05:54,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-14:06:05,Portugal,url exists,None
2026-01-27-16:12:49,Portugal,url exists,None
2026-01-27-16:12:56,Portugal,url exists,None
2026-01-27-16:13:54,Portugal,url exists,None
2026-01-27-16:14:01,Portugal,url exists,None
2026-01-27-16:14:26,Portugal,url exists,None
2026-01-27-16:14:33,Portugal,url exists,None
2026-01-27-19:34:34,Portugal,url exists,None
2026-01-27-19:35:13,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-19:35:43,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-19:35:50,Portugal,url exists,None
2026-01-27-19:37:50,Portugal,url exists,None
2026-01-27-21:51:29,Portugal,url exists,None
2026-01-27-21:51:36,Portugal,url exists,None
2026-01-27-21:53:44,Portugal,url exists,None
2026-01-27-21:54:11,Portugal,url exists,None
2026-01-28-04:23:58,Portugal,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-28-04:24:28,Portugal,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-28-04:24:48,Portugal,url exists,None
2026-01-28-04:24:55,Portugal,url exists,None
2026-01-28-04:25:02,Portugal,url exists,None
2026-01-28-04:25:11,Portugal,url exists,None
2026-01-28-04:25:48,Portugal,no popup,"Timeout 30000ms exceeded.
========================"
2026-01-28-04:25:58,Portugal,url exists,None
2026-01-28-04:26:09,Portugal,url exists,None
2026-01-28-07:12:44,Portugal,url exists,None
2026-01-28-07:12:51,Portugal,url exists,None
2026-01-28-07:12:58,Portugal,url exists,None
2026-01-28-07:13:24,Portugal,url exists,None
2026-01-28-07:14:10,Portugal,url exists,None
2026-01-28-07:15:05,Portugal,url exists,None
2026-01-28-10:13:38,Portugal,url exists,None
2026-01-28-10:13:45,Portugal,url exists,None
2026-01-28-10:14:43,Portugal,url exists,None
2026-01-28-10:14:51,Portugal,url exists,None
2026-01-28-10:15:00,Portugal,url exists,None
2026-01-28-10:15:10,Portugal,url exists,None
2026-01-28-10:15:42,Portugal,url exists,None
2026-01-28-10:15:50,Portugal,url exists,None
2026-01-28-10:16:03,Portugal,url exists,None
2026-01-28-14:13:40,Portugal,url exists,None
