time,location,message,error
2026-01-22-16:05:23,Singapore,url exists,None
2026-01-25-23:04:20,Singapore,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-25-23:04:50,Singapore,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-04:57:04,Singapore,url exists,None
2026-01-26-07:29:06,Singapore,url exists,None
2026-01-26-07:30:14,Singapore,url exists,None
2026-01-26-07:32:59,Singapore,url exists,None
2026-01-26-10:19:25,Singapore,url exists,None
2026-01-26-10:20:02,Singapore,url exists,None
2026-01-26-10:21:06,Singapore,url exists,None
