time,location,message,error
2026-01-21-14:05:04,United Arab Emirates,world,None
2026-01-25-23:01:45,United Arab Emirates,no popup,Timeout 30000ms exceeded.
2026-01-25-23:04:06,United Arab Emirates,url exists,None
2026-01-25-23:04:08,United Arab Emirates,world,None
2026-01-26-04:56:04,United Arab Emirates,url exists,None
2026-01-26-04:56:19,United Arab Emirates,url exists,None
2026-01-26-04:56:52,United Arab Emirates,url exists,None
2026-01-26-04:58:09,United Arab Emirates,url exists,None
2026-01-26-04:58:46,United Arab Emirates,url exists,None
2026-01-26-07:17:56,United Arab Emirates,url exists,None
2026-01-26-07:18:16,United Arab Emirates,url exists,None
2026-01-26-07:19:44,United Arab Emirates,url exists,None
2026-01-26-07:21:53,United Arab Emirates,url exists,None
2026-01-26-07:22:00,United Arab Emirates,url exists,None
2026-01-26-07:22:59,United Arab Emirates,no popup,Timeout 30000ms exceeded.
2026-01-26-07:23:06,United Arab Emirates,url exists,None
